,firstactivity2houraftersignup,lastofferpage,sessioncount24,sessioncount2hr,firstsessionlength,secondsessionlength,createtreebeforesignup,searchvolumebeforesignup,contentviewimagebeforesignup,contentviewimagedbbeforesignup,contentviewtextbeforesignup,contentviewtextdbbeforesignup,contentviewhoverbeforesignup,contentviewhoverdbbeforesignup,contentviewhovernosubbeforesignup,contentviewhovernosubdbbeforesignup,grosstreecountatsignup,nettreecountatsignup,netnodescountatsignup,totalpendinghintscountatsignup,createtreein2hours,netnodesgrowthin2hours,personahintsgeneratedcount,personahintacteduponcount,personahintacceptedcount,acceptpersonahintsnodescount,objecthintsgeneratedcount,objecthintacteduponcount,objecthintacceptedcount,acceptobjecthintsnodescount,recordhintsgeneratedcount,recordhintacteduponcount,recordhintacceptedcount,acceptrecordhintsnodescount,acceptrecordhintsrecordcount,acceptrecordhintsdbidcount,searchcountin2hours,searchdbcountin2hours,contentviewcountin2hours,contentviewdbcountin2hours,contentimageviewcountin2hours,contentimageviewdbcountin2hours,familytreeviewin2hours,pedigreetreeviewin2hours,totaltreeviewin2hours,personoverviewin2hours,personoverviewtreesin2hours,personoverviewnodesin2hours,dbcitationcountin2hours,hintsdbcitationcountin2hours,searchdbcitationcountin2hours,dbcitationnodescountin2hours,dbcitationdatabasecountin2hours,createnodesfromhintsin2hours,createnodesfromsearchin2hours,createnodesfromotherin2hours,age,y
firstactivity2houraftersignup,0.07048639892009367,0.004177447904711784,-0.003061610187577467,-0.0002427761203430563,-0.006715211407518552,-0.007536823203950423,0.0,0.0,-0.001578392216861783,-5.6209249537555106e-05,-0.0032109776044638525,-0.0010553899861487004,-0.0016580192237740873,-0.0006716180392759171,-0.003633839815999088,-0.00201466032077962,-0.0001769993389693209,-0.0001769993389693209,-0.0003551946194181649,-0.0027091618860238496,0.0,-0.0004831603577270626,-0.00552405369391416,-0.006168666151376783,-0.005312372052038698,-0.006202152512803371,-0.005258554685460181,-0.0031788124525706485,-0.0032266501117515665,-0.002018749217433889,-0.006900582336844519,-0.007096716739486193,-0.0069173255175578,-0.006490374409368323,-0.006886231039090211,-0.006122024433675409,-0.006636279269870051,-0.005013386682158101,-0.006141159497347758,-0.004640252940547075,-0.00371220235243767,-0.004259943550058956,-0.007432776295231999,-0.007186412350450384,-0.0066279076795134045,-0.006119632550716342,-0.0033295010789904946,-0.004823231986914042,-0.001427954126549802,-0.00710389238836336,-0.006379151851772731,-0.002582037654288959,-0.005287257280968724,-0.006143551380306773,-0.004006403956400194,-0.0005046873043584752,-0.00048435629920659003,0.0
lastofferpage,0.004177447904711784,0.041700946699464364,-0.00015546207614524778,4.076296161780663e-05,-0.0015409105413858842,-0.0021587907961410743,0.0,0.0,-0.000857136342782986,-3.047698064882833e-05,-0.0015927833056449446,-0.000473674618561393,-0.0009499739712879455,-0.00039814608762511733,-0.0018717250500267888,-0.0011263513912130796,-6.462505214853809e-05,-6.462505214853809e-05,-0.00019258857984472388,-0.001354532309532166,0.0,-0.00026197234430056453,-0.0005189177552842559,-0.0015423481765223864,-0.0007646104106710202,-0.0011530194861517212,-0.00021823758232114614,0.00025116539560144047,0.0005386776854844127,0.0002846031235483176,-0.0006853967883366675,-0.001716419927384418,-0.001807223055319458,-0.001560055184379999,-0.0017903634490030967,-0.0015170587670478165,-0.0023287559654471147,-0.0019503344382186944,-0.002154334200904991,-0.0017793641769976542,-0.001088099685640991,-0.0014791231790941748,-0.0017889258138665722,-0.002188211103911504,-0.0015562639835715443,-0.001123949192061355,-0.0006768542439299426,-0.0009068810238671458,-0.00044512234471756016,-0.001328497923572205,-0.0021423224682754873,-0.00047531784068051343,-0.001377893327847206,-0.0006667429013655497,-0.0012319449919620446,-0.00027364437944267175,0.0008031097048673355,0.0
sessioncount24,-0.003061610187577467,-0.00015546207614524778,0.07057784951193105,0.0006089621518103425,0.006358659717516175,0.009108195497319768,0.0,0.0,0.0023194863750803556,-2.9553435780681905e-05,0.0024410489508446646,0.0016607419617696757,0.0021819695617188257,0.0018080699656134445,0.0024835352078866587,0.0012273115477086558,9.731608424459422e-07,9.731608424459422e-07,-7.704501125965775e-05,0.007655462612832909,0.0,0.00353871297521461,0.004304942291264843,0.004828008875370324,0.0026295734420222817,0.004089467237968181,0.0016234838038017493,0.003923743988841118,0.004118007230630239,0.002668648232395721,0.0029229522068070506,0.007176786605812667,0.007114381008831274,0.006962721186558113,0.007224764761712857,0.006043642492969644,0.0017767706370341511,0.0026143749883503786,0.002272179999822282,0.0026381619180487577,0.001684237336213136,0.0016156636385060033,0.004304423534147408,0.006753486692959562,0.005479883932476917,0.006232970173434173,0.0019011247254118698,0.00401517173768032,0.0006127251059007673,0.0068282186664471,0.012616284363328076,0.0018866373521637303,0.004868274203503329,0.005170336255037789,0.008738906748093326,-0.0002653521255201661,-0.00011361001932920061,0.0
sessioncount2hr,-0.0002427761203430563,4.076296161780663e-05,0.0006089621518103425,0.003359467162478208,-0.0002799728724021891,-0.0003142277901831893,0.0,0.0,1.1248825618749455e-05,-2.3434951029212647e-06,-0.0001345265912272673,-4.7268794841901046e-05,-7.304724097403547e-05,-3.061502113177981e-05,1.762718017620187e-05,3.877046268950895e-05,8.29299079341066e-06,8.29299079341066e-06,-1.4808894586544924e-05,0.00017435225305336137,0.0,-2.014408556553602e-05,-0.00023031072085943324,-0.00025718612214612596,-0.0002214852180250268,-0.00025858224688829256,-0.00018789643154254292,-0.00013253212730988828,-0.00013452659122726714,-8.416637731342753e-05,-0.0002877014200820353,-0.0002488612002801463,-0.00022570945330225596,-0.00025492638470279007,-0.00022441305175595935,-0.0001925514906758184,-0.0002610094996507962,-0.0001933473112536867,-0.00011498673980418836,-0.00017779049269812402,0.00020569726762879255,-0.00014626199726723953,-0.00030988983116288785,-0.0002212558055498002,-0.0002606604684652539,-0.0002394692893430963,-7.612465949877078e-05,-0.00016974680989438712,-5.953474793378699e-05,-0.0002805053844431841,-0.00023461674880716476,-0.00010765118994057499,-0.00018909310989297112,-0.00025613902858949997,-0.0001356913385051259,-2.1041594328357003e-05,-2.019394716347055e-05,0.0
firstsessionlength,-0.006715211407518552,-0.0015409105413858842,0.006358659717516175,-0.0002799728724021891,0.24873650452929064,0.03186887722573882,0.0,0.0,0.0019520474174501985,0.00013892128930728854,0.00544739799611623,0.0026890298360164534,0.004154473989245751,0.002554119580671058,0.0046680371492838,0.00319945515411555,-9.441060226443247e-05,-9.441060226443247e-05,-0.00040961548326823007,0.0033828915516911015,0.0,-0.00046315234765540554,0.03422137664550077,0.041674721709563635,0.03890081048583172,0.03919119362476241,0.02802346335101641,0.021347469932450666,0.021856513126354695,0.014707965133003842,0.03924774232616359,0.04596447807396193,0.04576386939118249,0.04059846034626558,0.040455403000566215,0.03683868732753855,0.022171729797293094,0.017570527084755885,0.019796277585697603,0.016198491880606885,0.0004364601816005282,0.01751473048292536,0.03317997615349181,0.035156717343101315,0.033230501672112174,0.032515833669551554,0.009466330722897874,0.02086162761025136,0.0068947794784642025,0.04304111665817875,0.039128128037073266,0.01452854812059377,0.031234572118501353,0.0362026343625134,0.025800094662464673,-0.0002685624264315162,-0.0003078064514895831,0.0
secondsessionlength,-0.007536823203950423,-0.0021587907961410743,0.009108195497319768,-0.0003142277901831893,0.03186887722573882,0.3604923193879831,0.0,0.0,0.00354292959615912,0.00011531784046436464,0.0039107251993075,0.0016357281420137412,0.002010891471721934,0.00019367006071026362,0.007310103991884091,0.004019095820875414,-0.00015072964556689744,-0.00015072964556689744,-0.000459732284159641,0.0024986442545553325,0.0,-0.0006096872327812921,0.01842768872677322,0.023110082331907617,0.022792194995184457,0.021530834853548404,0.011499283618281363,0.010382697485930712,0.011762651350453136,0.007464532975019954,0.020830592081456253,0.028460004342792975,0.028582484814081786,0.02487217032490385,0.02390530604434513,0.023154778710418697,0.010045202260037505,0.009105263487987058,0.009416568111288407,0.007864238772728249,0.0010097560622223392,0.009610277963027538,0.015878845633032396,0.01771795039057004,0.014021182044870498,0.013738697670798838,0.008886841442315909,0.01084027098396109,0.004687218881446833,0.028482061836476277,0.018731451476357464,0.007816865587841379,0.01907897207654281,0.023362003757058082,0.010392939745892624,-0.000527842244443621,-0.00037614754361423215,0.0
createtreebeforesignup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
searchvolumebeforesignup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contentviewimagebeforesignup,-0.001578392216861783,-0.000857136342782986,0.0023194863750803556,1.1248825618749455e-05,0.0019520474174501985,0.00354292959615912,0.0,0.0,0.7261951276178892,0.0023666824653262543,0.04374331655939586,0.021095227231585422,0.04560850114326587,0.023493836839502465,0.0354750578554314,0.02616302888262649,0.000703350156700336,0.000703350156700336,-9.819099563295314e-05,0.003048640277147255,0.0,-0.00013356620281384864,-0.0006337519628110188,-0.0001537051302830514,-0.0006222516185898794,-0.0006174649051881666,-0.0004976666439951067,0.00144077125907899,0.00012672877768230023,-0.000213273528654845,-0.0005911257002969883,7.55896912214239e-05,-3.1543969719893326e-05,0.0002902261854276991,-0.000884936025808719,-0.0006893491182497969,0.0002342193297655029,0.0004634412010503294,0.0014524946295608049,-7.598146091948412e-05,0.00284489768240694,0.00035827498542652814,0.00023344856279841297,-0.0013754041779286403,-0.0004373842177159363,0.004389204461795958,0.004502270916020625,0.0063305083014449275,-0.00012831501511807917,-0.0006003117786277926,-0.0005096700254210428,-0.00038466306942108746,-0.0009601039812486125,-0.0010244227407241247,-0.0002612261396969992,-0.00013951717224614866,-0.00013389681222675544,0.0
contentviewimagedbbeforesignup,-5.6209249537555106e-05,-3.047698064882833e-05,-2.9553435780681905e-05,-2.3434951029212647e-06,0.00013892128930728854,0.00011531784046436464,0.0,0.0,0.0023666824653262543,0.003086941353069991,0.007052826743369345,0.0042363054682834815,0.004230337059573052,0.00615220715720929,0.0010769144765437528,0.00048146776525728323,4.5308963857076544e-05,4.5308963857076544e-05,-3.4286603229931124e-06,0.00030896161944567196,0.0,-4.663901584138846e-06,-5.3323171824597645e-05,-5.9545555373733506e-05,-5.127982880382383e-05,-5.9868796077584655e-05,-5.076033481549182e-05,0.00015738530920842965,0.00010990601491120866,0.0002626183344609983,2.7424370111242364e-05,0.00016658366872098528,0.00012129779348561222,0.00012541911245971492,0.00012159794556775984,8.195723833893103e-05,0.00040611583771467917,0.0003120739165265985,0.0012415380686562779,0.000362693263375517,0.0012022945348454824,0.0008208670655701595,-7.174789194411658e-05,2.466527981765478e-05,-1.696104887768816e-05,0.00097531324236044,0.00020294824790424802,0.0002042019109380292,3.323361470606397e-05,7.247935912957979e-05,0.00012649273336893578,2.209335473404913e-05,9.001516731350772e-05,3.4731918880450194e-05,8.344080509520644e-06,-4.871699179471796e-06,-4.675445894990663e-06,0.0
