Conditions	BTR	Leaf Size
(df['personahintsgeneratedcount'] <= 0.5) & (df['regtype'] <= 0.5) & (df['secondsessionlength'] <= 4.5) & (df['firstsessionlength'] <= 21.5) & (df['lastofferpage'] <= 6.5) & (df['entrypage'] <= 11.5)	0.314987055326	10429
(df['personahintsgeneratedcount'] <= 0.5) & (df['regtype'] <= 0.5) & (df['secondsessionlength'] <= 4.5) & (df['firstsessionlength'] <= 21.5) & (df['lastofferpage'] <= 6.5) & (df['entrypage'] > 11.5)	0.235818476499	3702
(df['personahintsgeneratedcount'] <= 0.5) & (df['regtype'] <= 0.5) & (df['secondsessionlength'] <= 4.5) & (df['firstsessionlength'] <= 21.5) & (df['lastofferpage'] > 6.5) & (df['lastofferpage'] <= 7.5)	0.146503884573	1802
(df['personahintsgeneratedcount'] <= 0.5) & (df['regtype'] <= 0.5) & (df['secondsessionlength'] <= 4.5) & (df['firstsessionlength'] <= 21.5) & (df['lastofferpage'] > 6.5) & (df['lastofferpage'] > 7.5)	0.229357798165	1090
(df['personahintsgeneratedcount'] <= 0.5) & (df['regtype'] <= 0.5) & (df['secondsessionlength'] <= 4.5) & (df['firstsessionlength'] > 21.5) & (df['contentimageviewdbcountin2hours'] <= 1.5) & (df['device'] <= 3.5)	0.300236406619	2115
(df['personahintsgeneratedcount'] <= 0.5) & (df['regtype'] <= 0.5) & (df['secondsessionlength'] <= 4.5) & (df['firstsessionlength'] > 21.5) & (df['contentimageviewdbcountin2hours'] <= 1.5) & (df['device'] > 3.5)	0.362133891213	4780
(df['personahintsgeneratedcount'] <= 0.5) & (df['regtype'] <= 0.5) & (df['secondsessionlength'] <= 4.5) & (df['firstsessionlength'] > 21.5) & (df['contentimageviewdbcountin2hours'] > 1.5) & (df['netnodesgrowthin2hours'] <= 1.5)	0.451792336218	1618
(df['personahintsgeneratedcount'] <= 0.5) & (df['regtype'] <= 0.5) & (df['secondsessionlength'] <= 4.5) & (df['firstsessionlength'] > 21.5) & (df['contentimageviewdbcountin2hours'] > 1.5) & (df['netnodesgrowthin2hours'] > 1.5)	0.388114453412	1363
(df['personahintsgeneratedcount'] <= 0.5) & (df['regtype'] <= 0.5) & (df['secondsessionlength'] > 4.5) & (df['device'] <= 3.5) & (df['entrypage'] <= 6.5)	0.404060913706	985
(df['personahintsgeneratedcount'] <= 0.5) & (df['regtype'] <= 0.5) & (df['secondsessionlength'] > 4.5) & (df['device'] <= 3.5) & (df['entrypage'] > 6.5)	0.310483870968	744
